Time (ms),Motor Speed,PH,Temperature
12957,NaN,,
12861,700.0,,
12884,700.0,,
12909,700.0,,
12933,700.0,,
12957,NaN,,
21,700.0,,
0,,0.0,
0,,,0.0
41,700.0,,
63,700.0,,
84,700.0,,
107,700.0,,
128,700.0,,
149,700.0,,
169,700.0,,
192,700.0,,
212,700.0,,
236,700.0,,
258,700.0,,
279,700.0,,
302,700.0,,
324,700.0,,
344,700.0,,
368,700.0,,
389,700.0,,
410,700.0,,
433,700.0,,
454,700.0,,
476,700.0,,
499,700.0,,
519,700.0,,
542,700.0,,
563,700.0,,
585,700.0,,
606,700.0,,
629,700.0,,
650,700.0,,
673,700.0,,
694,700.0,,
716,700.0,,
737,700.0,,
760,700.0,,
782,700.0,,
803,700.0,,
826,700.0,,
848,700.0,,
868,700.0,,
892,700.0,,
913,700.0,,
934,700.0,,
956,700.0,,
978,700.0,,
1000,700.0,,
1022,700.0,,
1046,700.0,,
1069,700.0,,
1092,700.0,,
1115,700.0,,
1138,700.0,,
1160,700.0,,
1184,700.0,,
1205,700.0,,
1229,700.0,,
1251,700.0,,
1274,700.0,,
1298,700.0,,
1320,700.0,,
1344,700.0,,
1367,700.0,,
1389,700.0,,
1411,700.0,,
1436,700.0,,
1457,700.0,,
1482,700.0,,
1503,700.0,,
1527,700.0,,
1550,700.0,,
1572,700.0,,
1594,700.0,,
1619,700.0,,
1641,700.0,,
1662,700.0,,
1688,700.0,,
1709,700.0,,
1732,700.0,,
1756,700.0,,
1778,700.0,,
1801,700.0,,
1824,700.0,,
1847,700.0,,
1870,700.0,,
1892,700.0,,
1916,700.0,,
1938,700.0,,
1961,700.0,,
1985,700.0,,
2007,700.0,,
2030,700.0,,
2052,700.0,,
2076,700.0,,
2099,700.0,,
2121,700.0,,
2143,700.0,,
2168,700.0,,
2189,700.0,,
2214,700.0,,
2235,700.0,,
2259,700.0,,
2282,700.0,,
2305,700.0,,
2328,700.0,,
2350,700.0,,
2374,700.0,,
2395,700.0,,
2420,700.0,,
2441,700.0,,
2464,700.0,,
2488,700.0,,
2510,700.0,,
2533,700.0,,
2556,700.0,,
2579,700.0,,
2603,700.0,,
2626,700.0,,
2648,700.0,,
2670,700.0,,
2693,700.0,,
2717,700.0,,
2739,700.0,,
2762,700.0,,
2784,700.0,,
2808,700.0,,
2831,700.0,,
2853,700.0,,
2875,700.0,,
2900,700.0,,
2923,700.0,,
2945,700.0,,
2968,700.0,,
2990,700.0,,
3014,700.0,,
3037,700.0,,
3060,700.0,,
3082,700.0,,
3106,700.0,,
3127,700.0,,
3152,700.0,,
3173,700.0,,
3196,700.0,,
3220,700.0,,
3241,700.0,,
3266,700.0,,
3289,700.0,,
3311,700.0,,
3333,700.0,,
3358,700.0,,
3380,700.0,,
3402,700.0,,
3425,700.0,,
3449,700.0,,
3471,700.0,,
3494,700.0,,
3516,700.0,,
3540,700.0,,
3563,700.0,,
3586,700.0,,
3609,700.0,,
3631,700.0,,
3655,700.0,,
3677,700.0,,
3700,700.0,,
3722,700.0,,
3746,700.0,,
3769,700.0,,
3792,700.0,,
3814,700.0,,
3838,700.0,,
3860,700.0,,
3883,700.0,,
3907,700.0,,
3929,700.0,,
3952,700.0,,
3974,700.0,,
3998,700.0,,
4021,700.0,,
4043,700.0,,
4065,700.0,,
4090,700.0,,
4111,700.0,,
4134,700.0,,
4157,700.0,,
4182,700.0,,
4203,700.0,,
4227,700.0,,
4249,700.0,,
4271,700.0,,
4295,700.0,,
4318,700.0,,
4341,700.0,,
4363,700.0,,
4387,700.0,,
4409,700.0,,
4432,700.0,,
4454,700.0,,
4478,700.0,,
4501,700.0,,
4523,700.0,,
4548,700.0,,
4570,700.0,,
4592,700.0,,
4615,700.0,,
4639,700.0,,
4661,700.0,,
4684,700.0,,
4706,700.0,,
4730,700.0,,
4753,700.0,,
4775,700.0,,
4797,700.0,,
4820,700.0,,
4845,700.0,,
4866,700.0,,
4891,700.0,,
4912,700.0,,
4935,700.0,,
4959,700.0,,
4981,700.0,,
5003,700.0,,
5027,700.0,,
5050,700.0,,
5072,700.0,,
5095,700.0,,
5120,700.0,,
5143,700.0,,
5164,700.0,,
5188,700.0,,
5211,700.0,,
5233,700.0,,
5255,700.0,,
5280,700.0,,
5302,700.0,,
5324,700.0,,
5347,700.0,,
5371,700.0,,
5393,700.0,,
5416,700.0,,
5439,700.0,,
5462,700.0,,
5485,700.0,,
5508,700.0,,
5531,700.0,,
5553,700.0,,
5577,700.0,,
5599,700.0,,
5623,700.0,,
5644,700.0,,
5667,700.0,,
5691,700.0,,
5713,700.0,,
5735,700.0,,
5760,700.0,,
5782,700.0,,
5804,700.0,,
5829,700.0,,
5850,700.0,,
5875,700.0,,
5896,700.0,,
5920,700.0,,
5943,700.0,,
5965,700.0,,
5987,700.0,,
6012,700.0,,
6034,700.0,,
6056,700.0,,
6081,700.0,,
6102,700.0,,
6125,700.0,,
6149,700.0,,
6171,700.0,,
6194,700.0,,
6217,700.0,,
6240,700.0,,
6263,700.0,,
6285,700.0,,
6309,700.0,,
6330,700.0,,
6355,700.0,,
6376,700.0,,
6400,700.0,,
6423,700.0,,
6445,700.0,,
6469,700.0,,
6492,700.0,,
6514,700.0,,
6536,700.0,,
6561,700.0,,
6582,700.0,,
6607,700.0,,
6628,700.0,,
6652,700.0,,
6675,700.0,,
6697,700.0,,
6721,700.0,,
6743,700.0,,
6767,700.0,,
6788,700.0,,
6813,700.0,,
6834,700.0,,
6857,700.0,,
6881,700.0,,
6903,700.0,,
6926,700.0,,
6949,700.0,,
6972,700.0,,
6995,700.0,,
7019,700.0,,
7040,700.0,,
7063,700.0,,
7086,700.0,,
7110,700.0,,
7132,700.0,,
7155,700.0,,
7177,700.0,,
7201,700.0,,
7224,700.0,,
7246,700.0,,
7268,700.0,,
7293,700.0,,
7314,700.0,,
7337,700.0,,
7361,700.0,,
7383,700.0,,
7407,700.0,,
7430,700.0,,
7453,700.0,,
7475,700.0,,
7499,700.0,,
7520,700.0,,
7545,700.0,,
7566,700.0,,
7589,700.0,,
7612,700.0,,
7635,700.0,,
7659,700.0,,
7682,700.0,,
7704,700.0,,
7726,700.0,,
7751,700.0,,
7772,700.0,,
7795,700.0,,
7818,700.0,,
7842,700.0,,
7864,700.0,,
7887,700.0,,
7909,700.0,,
7933,700.0,,
7956,700.0,,
7979,700.0,,
8002,700.0,,
8024,700.0,,
8048,700.0,,
8070,700.0,,
8093,700.0,,
8115,700.0,,
8139,700.0,,
8162,700.0,,
8185,700.0,,
8207,700.0,,
8231,700.0,,
8252,700.0,,
8278,700.0,,
8300,700.0,,
8322,700.0,,
8345,700.0,,
8367,700.0,,
8391,700.0,,
8414,700.0,,
8436,700.0,,
8458,700.0,,
8483,700.0,,
8504,700.0,,
8527,700.0,,
